date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:37:09	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Feb%202023%2001:37:09%20GMT	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/robots.txt		(from )
09:37:09	64435/64435	---MCZ	200	added ('OK')	text/html	etag:W/%22fbb3-5e80d4070c259%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perefct_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/index.html	(from )
09:37:10	1158/1158	---MC-	200	added ('OK')	text/css	date:Fri,%2017%20Feb%202023%2001:37:10%20GMT	http://fonts.googleapis.com/css?family=Dosis:400,700,500|Nunito:300,400,600	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perefct_team/fonts.googleapis.com/css470f.css	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
09:37:13	177145/177145	---MCZ	200	added ('OK')	text/css	etag:W/%22631804e2-2b3f9%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/style.css	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perefct_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/style.css	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
09:37:13	1624/1624	---M--	200	added ('OK')	image/png	etag:%22631804e5-658%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/logo1.png	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perefct_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/logo1.png	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
09:37:15	64435/64435	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e0-fbb3%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/index.html	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perefct_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/index-2.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
09:37:15	756537/756537	---MCZ	200	added ('OK')	text/css	etag:W/%22631804e3-b8b39%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perefct_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
09:37:15	53899/53899	---MCZ	200	added ('OK')	text/html	etag:W/%22631804de-d28b%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/homev2.html	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perefct_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/homev2.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
09:37:15	63234/63234	---MCZ	200	added ('OK')	text/html	etag:W/%22631804df-f702%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/homev3.html	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perefct_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/homev3.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
09:37:15	25971/25971	---MCZ	200	added ('OK')	text/html	etag:W/%22631804df-6573%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviegrid.html	C:/Users/temug/Documents/codes/not%20perfect%20team/not_perefct_team/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviegrid.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
